customer_name,phone,address,total,discount,final_total,order_date,status_id
"Иванов Илья Алексеевич","+7(920) 101-01-01","г. Нижний Новгород, ул. Горького, д. 10",1760.00,0.00,1760.00,"2026-01-10 12:05:10",1
"Петрова Анна Сергеевна","+7(920) 101-01-02","г. Балахна, ул. Комсомольская, д. 5",1050.00,0.00,1050.00,"2026-01-10 12:18:44",2
"Сидоров Кирилл Андреевич","+7(920) 101-01-03","г. Дзержинск, пр-т Ленина, д. 22",2250.00,0.00,2250.00,"2026-01-10 13:02:30",1
"Фомичева Ольга Викторовна","+7(920) 101-01-04","г. Заволжье, ул. Советская, д. 14",4930.00,739.50,4190.50,"2026-01-10 13:45:05",2
"Смирнов Денис Олегович","+7(920) 101-01-05","г. Нижний Новгород, ул. Белинского, д. 28",850.00,0.00,850.00,"2026-01-10 14:11:19",3
"Кузнецова Мария Игоревна","+7(920) 101-01-06","г. Балахна, ул. Дзержинского, д. 9",1290.00,0.00,1290.00,"2026-01-10 15:03:50",1
"Волков Артем Николаевич","+7(920) 101-01-07","г. Дзержинск, ул. Маяковского, д. 3",2050.00,0.00,2050.00,"2026-01-10 15:40:12",2
"Орлова Екатерина Павловна","+7(920) 101-01-08","г. Заволжье, ул. Мира, д. 6",910.00,0.00,910.00,"2026-01-11 11:09:03",1
"Морозов Алексей Евгеньевич","+7(920) 101-01-09","г. Нижний Новгород, ул. Ильинская, д. 17",3250.00,0.00,3250.00,"2026-01-11 12:22:58",1
"Новикова Татьяна Романовна","+7(920) 101-01-10","г. Балахна, ул. Гагарина, д. 31",640.00,0.00,640.00,"2026-01-11 12:45:27",3
"Соловьев Максим Ильич","+7(920) 101-01-11","г. Дзержинск, ул. Терешковой, д. 8",1550.00,0.00,1550.00,"2026-01-11 13:15:41",1
"Зайцева Полина Дмитриевна","+7(920) 101-01-12","г. Заволжье, ул. Победы, д. 12",1060.00,0.00,1060.00,"2026-01-11 14:07:09",2
"Сливин Никита","+7(998) 671 42-26","Г. Балахна ул.Некрасова 42",3420.00,0.00,3420.00,"2026-01-31 11:15:08",2
"Пррои Олло Лорло Лол","+7(544) 657 89-08",Авпролд34556,6220.00,933.00,5287.00,"2026-02-16 17:38:19",2
Авчпсрмоилт,"+7(891) 234 56-78",Фцыукенгол,1320.00,0.00,1320.00,"2026-02-16 17:39:56",2
Еарпрррпрпрпрп,"+7(333) 333 33-33",Ррррррр,520.00,0.00,520.00,"2026-02-16 17:40:50",2
Рооооооома,"+7(777) 777 77-77",23232323,360.00,0.00,360.00,"2026-02-16 17:45:40",2
Ваааааася,"+7(111) 111 11-11",Цацйайцайа,1170.00,0.00,1170.00,"2026-02-16 17:46:38",2
Леееееша,"+7(222) 222 22-22",Аоол2ла2,2410.00,0.00,2410.00,"2026-02-16 17:47:58",2
Ааааааааааааа,"+7(222) 222 22-22",12,1620.00,0.00,1620.00,"2026-02-16 17:55:22",2
Ааааааааааааа,"+7(222) 222 22-22",12,1620.00,0.00,1620.00,"2026-02-16 17:55:22",2
Ааааааааааааа,"+7(222) 222 22-22",12,1620.00,0.00,1620.00,"2026-02-16 17:55:22",1
Аыафыа,"+7(124) 214 11-24",Афыафа,2100.00,0.00,2100.00,"2026-02-16 18:07:05",2
Аыафыа,"+7(124) 214 11-24",Афыафа,2100.00,0.00,2100.00,"2026-02-16 18:07:32",2
Аыафыа,"+7(124) 214 11-24",Афыафа,2100.00,0.00,2100.00,"2026-02-16 18:07:32",2
Аловпфорп,"+7(114) 221 41-24",1А1а1а1а1а,1250.00,0.00,1250.00,"2026-02-16 18:09:28",2
Ауауацуа,"+7(123) 112 31-23",Фвыа1а1а,870.00,0.00,870.00,"2026-02-16 18:14:21",2
Рррнрнрнр,"+7(778) 787 87-88",Рпнрнооглшд,420.00,0.00,420.00,"2026-02-16 18:14:38",2
